<DATE>;<VALUE>;<TYPE>
16.11.2018;112880;Открытие
16.11.2018;112870;Открытие
16.11.2018;112790;Открытие
16.11.2018;112830;Открытие
16.11.2018;112870;Открытие
16.11.2018;112880;Открытие
16.11.2018;112870;Открытие
16.11.2018;112890;Открытие
16.11.2018;112940;Открытие
16.11.2018;112880;Открытие
16.11.2018;112800;Открытие
16.11.2018;112810;Открытие
16.11.2018;112780;Открытие
16.11.2018;112740;Открытие
16.11.2018;112830;Открытие
16.11.2018;112860;Открытие
16.11.2018;112950;Открытие
16.11.2018;112950;Открытие
16.11.2018;112890;Открытие
16.11.2018;112900;Открытие
16.11.2018;112890;Открытие
16.11.2018;112920;Открытие
16.11.2018;112880;Открытие
16.11.2018;112910;Открытие
16.11.2018;112920;Открытие
16.11.2018;112890;Открытие
16.11.2018;112890;Открытие
16.11.2018;112860;Открытие
16.11.2018;112900;Открытие
16.11.2018;112880;Открытие
16.11.2018;112870;Открытие
16.11.2018;112870;Открытие
16.11.2018;112890;Открытие
16.11.2018;112950;Открытие
16.11.2018;112940;Открытие
16.11.2018;112910;Открытие
16.11.2018;112940;Открытие
16.11.2018;112950;Открытие
16.11.2018;112950;Открытие
16.11.2018;112940;Открытие
16.11.2018;112960;Открытие
16.11.2018;112990;Открытие
16.11.2018;112940;Открытие
16.11.2018;112930;Открытие
16.11.2018;112940;Открытие
16.11.2018;112990;Открытие
16.11.2018;112990;Открытие
16.11.2018;112990;Открытие
16.11.2018;113000;Открытие
16.11.2018;113000;Открытие
16.11.2018;113000;Открытие
16.11.2018;112940;Открытие
16.11.2018;112910;Открытие
16.11.2018;112930;Открытие
16.11.2018;112880;Открытие
16.11.2018;112880;Открытие
16.11.2018;112950;Открытие
16.11.2018;113080;Открытие
16.11.2018;113140;Открытие
16.11.2018;113100;Открытие
16.11.2018;113120;Открытие
16.11.2018;113080;Открытие
16.11.2018;113110;Открытие
16.11.2018;113100;Открытие
16.11.2018;113080;Открытие
16.11.2018;113100;Открытие
16.11.2018;113120;Открытие
16.11.2018;113110;Открытие
16.11.2018;113080;Открытие
16.11.2018;113070;Открытие
16.11.2018;113040;Открытие
16.11.2018;113070;Открытие
16.11.2018;113110;Открытие
16.11.2018;113160;Открытие
16.11.2018;113150;Открытие
16.11.2018;113190;Открытие
16.11.2018;113210;Открытие
16.11.2018;113190;Открытие
16.11.2018;113180;Открытие
16.11.2018;113200;Открытие
16.11.2018;113150;Открытие
16.11.2018;113150;Открытие
16.11.2018;113210;Открытие
16.11.2018;113170;Открытие
16.11.2018;113160;Открытие
16.11.2018;113120;Открытие
16.11.2018;113180;Открытие
16.11.2018;113200;Открытие
16.11.2018;113200;Открытие
16.11.2018;113190;Открытие
16.11.2018;113230;Открытие
16.11.2018;113180;Открытие
16.11.2018;113150;Открытие
16.11.2018;113180;Открытие
16.11.2018;113200;Открытие
16.11.2018;113150;Открытие
16.11.2018;113200;Открытие
16.11.2018;113160;Открытие
16.11.2018;113170;Открытие
16.11.2018;113190;Открытие
16.11.2018;113180;Открытие
16.11.2018;113200;Открытие
16.11.2018;113210;Открытие
16.11.2018;113240;Открытие
16.11.2018;113230;Открытие
16.11.2018;113230;Открытие
16.11.2018;113220;Открытие
16.11.2018;113250;Открытие
16.11.2018;113270;Открытие
16.11.2018;113260;Открытие
16.11.2018;113280;Открытие
16.11.2018;113280;Открытие
16.11.2018;113290;Открытие
16.11.2018;113290;Открытие
16.11.2018;113280;Открытие
16.11.2018;113260;Открытие
16.11.2018;113260;Открытие
16.11.2018;113250;Открытие
16.11.2018;113220;Открытие
16.11.2018;113240;Открытие
16.11.2018;113250;Открытие
16.11.2018;113240;Открытие
16.11.2018;113230;Открытие
16.11.2018;113220;Открытие
16.11.2018;113190;Открытие
16.11.2018;113270;Открытие
16.11.2018;113270;Открытие
16.11.2018;113320;Открытие
16.11.2018;113320;Открытие
16.11.2018;113290;Открытие
16.11.2018;113300;Открытие
16.11.2018;113320;Открытие
16.11.2018;113360;Открытие
16.11.2018;113420;Открытие
16.11.2018;113420;Открытие
16.11.2018;113400;Открытие
16.11.2018;113380;Открытие
16.10.2018;114890;Закрытие
16.10.2018;114820;Закрытие
16.10.2018;114720;Закрытие
16.10.2018;114580;Закрытие
16.10.2018;114650;Закрытие
16.10.2018;114710;Закрытие
16.10.2018;114450;Закрытие
16.10.2018;114550;Закрытие
16.10.2018;114480;Закрытие
16.10.2018;114500;Закрытие
16.10.2018;114770;Закрытие
16.10.2018;114740;Закрытие
16.10.2018;114680;Закрытие
16.10.2018;114590;Закрытие
16.10.2018;114580;Закрытие
16.10.2018;114610;Закрытие
16.10.2018;114640;Закрытие
16.10.2018;114740;Закрытие
16.10.2018;114790;Закрытие
16.10.2018;114780;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114780;Закрытие
16.10.2018;114800;Закрытие
16.10.2018;114740;Закрытие
16.10.2018;114770;Закрытие
16.10.2018;114750;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114940;Закрытие
16.10.2018;114860;Закрытие
16.10.2018;114960;Закрытие
16.10.2018;114910;Закрытие
16.10.2018;114920;Закрытие
16.10.2018;114920;Закрытие
16.10.2018;114990;Закрытие
16.10.2018;114960;Закрытие
16.10.2018;114970;Закрытие
16.10.2018;114890;Закрытие
16.10.2018;114900;Закрытие
16.10.2018;114940;Закрытие
16.10.2018;114980;Закрытие
16.10.2018;114750;Закрытие
16.10.2018;114730;Закрытие
16.10.2018;114650;Закрытие
16.10.2018;114670;Закрытие
16.10.2018;114740;Закрытие
16.10.2018;114790;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;114790;Закрытие
16.10.2018;114790;Закрытие
16.10.2018;114730;Закрытие
16.10.2018;114710;Закрытие
16.10.2018;114720;Закрытие
16.10.2018;114630;Закрытие
16.10.2018;114680;Закрытие
16.10.2018;114700;Закрытие
16.10.2018;114620;Закрытие
16.10.2018;114520;Закрытие
16.10.2018;114650;Закрытие
16.10.2018;114690;Закрытие
16.10.2018;114700;Закрытие
16.10.2018;114610;Закрытие
16.10.2018;114630;Закрытие
16.10.2018;114630;Закрытие
16.10.2018;114640;Закрытие
16.10.2018;114650;Закрытие
16.10.2018;114750;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;114880;Закрытие
16.10.2018;114880;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114770;Закрытие
16.10.2018;114730;Закрытие
16.10.2018;114720;Закрытие
16.10.2018;114770;Закрытие
16.10.2018;114770;Закрытие
16.10.2018;114800;Закрытие
16.10.2018;114820;Закрытие
16.10.2018;114780;Закрытие
16.10.2018;114730;Закрытие
16.10.2018;114690;Закрытие
16.10.2018;114700;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114800;Закрытие
16.10.2018;114860;Закрытие
16.10.2018;114900;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114890;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114930;Закрытие
16.10.2018;114890;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114760;Закрытие
16.10.2018;114770;Закрытие
16.10.2018;114840;Закрытие
16.10.2018;114860;Закрытие
16.10.2018;114940;Закрытие
16.10.2018;114930;Закрытие
16.10.2018;114930;Закрытие
16.10.2018;114960;Закрытие
16.10.2018;114990;Закрытие
16.10.2018;114910;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;115000;Закрытие
16.10.2018;115040;Закрытие
16.10.2018;115070;Закрытие
16.10.2018;115020;Закрытие
16.10.2018;115070;Закрытие
16.10.2018;115080;Закрытие
16.10.2018;115050;Закрытие
16.10.2018;115000;Закрытие
16.10.2018;114900;Закрытие
16.10.2018;114920;Закрытие
16.10.2018;114970;Закрытие
16.10.2018;115020;Закрытие
16.10.2018;115020;Закрытие
16.10.2018;114930;Закрытие
16.10.2018;114860;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114850;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;114890;Закрытие
16.10.2018;114860;Закрытие
16.10.2018;114900;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114910;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114840;Закрытие
16.10.2018;114910;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114990;Закрытие
16.10.2018;115020;Закрытие
16.10.2018;115020;Закрытие
16.10.2018;115090;Закрытие
16.10.2018;115060;Закрытие
16.10.2018;115060;Закрытие
16.10.2018;114970;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;115050;Закрытие
16.10.2018;115000;Закрытие
16.10.2018;114980;Закрытие
16.10.2018;115000;Закрытие
16.10.2018;114980;Закрытие
16.10.2018;114910;Закрытие
16.10.2018;114920;Закрытие
16.10.2018;114930;Закрытие
16.10.2018;114930;Закрытие
16.10.2018;114910;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114880;Закрытие
16.10.2018;114900;Закрытие
16.10.2018;114910;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114960;Закрытие
16.10.2018;114960;Закрытие
16.10.2018;114900;Закрытие
16.10.2018;114880;Закрытие
16.10.2018;114890;Закрытие
16.10.2018;114940;Закрытие
16.10.2018;115020;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114990;Закрытие
16.10.2018;115010;Закрытие
16.10.2018;115040;Закрытие
16.10.2018;115000;Закрытие
16.10.2018;114970;Закрытие
16.10.2018;114890;Закрытие
16.10.2018;114960;Закрытие
16.10.2018;114980;Закрытие
16.10.2018;114990;Закрытие
16.10.2018;114990;Закрытие
16.10.2018;115000;Закрытие
16.10.2018;115000;Закрытие
16.10.2018;114970;Закрытие
16.10.2018;114940;Закрытие
16.10.2018;114990;Закрытие
16.10.2018;114990;Закрытие
16.10.2018;114970;Закрытие
16.10.2018;114920;Закрытие
16.10.2018;114920;Закрытие
16.10.2018;114930;Закрытие
16.10.2018;114910;Закрытие
16.10.2018;114820;Закрытие
16.10.2018;114860;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;114800;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;114770;Закрытие
16.10.2018;114760;Закрытие
16.10.2018;114770;Закрытие
16.10.2018;114790;Закрытие
16.10.2018;114800;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;114840;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114850;Закрытие
16.10.2018;114900;Закрытие
16.10.2018;114900;Закрытие
16.10.2018;114920;Закрытие
16.10.2018;114930;Закрытие
16.10.2018;114890;Закрытие
16.10.2018;114930;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114890;Закрытие
16.10.2018;114860;Закрытие
16.10.2018;114910;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114820;Закрытие
16.10.2018;114820;Закрытие
16.10.2018;114790;Закрытие
16.10.2018;114790;Закрытие
16.10.2018;114840;Закрытие
16.10.2018;114840;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;114820;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114850;Закрытие
16.10.2018;114770;Закрытие
16.10.2018;114760;Закрытие
16.10.2018;114780;Закрытие
16.10.2018;114730;Закрытие
16.10.2018;114700;Закрытие
16.10.2018;114630;Закрытие
16.10.2018;114610;Закрытие
16.10.2018;114620;Закрытие
16.10.2018;114610;Закрытие
16.10.2018;114630;Закрытие
16.10.2018;114630;Закрытие
16.10.2018;114580;Закрытие
16.10.2018;114570;Закрытие
16.10.2018;114500;Закрытие
16.10.2018;114470;Закрытие
16.10.2018;114530;Закрытие
16.10.2018;114560;Закрытие
16.10.2018;114630;Закрытие
16.10.2018;114640;Закрытие
16.10.2018;114660;Закрытие
16.10.2018;114590;Закрытие
16.10.2018;114590;Закрытие
16.10.2018;114510;Закрытие
16.10.2018;114590;Закрытие
16.10.2018;114620;Закрытие
16.10.2018;114610;Закрытие
16.10.2018;114660;Закрытие
16.10.2018;114670;Закрытие
16.10.2018;114650;Закрытие
16.10.2018;114700;Закрытие
16.10.2018;114620;Закрытие
16.10.2018;114560;Закрытие
16.10.2018;114460;Закрытие
16.10.2018;114560;Закрытие
16.10.2018;114510;Закрытие
16.10.2018;114490;Закрытие
16.10.2018;114480;Закрытие
16.10.2018;114510;Закрытие
16.10.2018;114390;Закрытие
16.10.2018;114390;Закрытие
16.10.2018;114430;Закрытие
16.10.2018;114450;Закрытие
16.10.2018;114410;Закрытие
16.10.2018;114300;Закрытие
16.10.2018;114360;Закрытие
16.10.2018;114370;Закрытие
16.10.2018;114360;Закрытие
16.10.2018;114400;Закрытие
16.10.2018;114380;Закрытие
16.10.2018;114400;Закрытие
16.10.2018;114410;Закрытие
16.10.2018;114440;Закрытие
16.10.2018;114430;Закрытие
16.10.2018;114510;Закрытие
16.10.2018;114480;Закрытие
16.10.2018;114450;Закрытие
16.10.2018;114400;Закрытие
16.10.2018;114390;Закрытие
16.10.2018;114390;Закрытие
16.10.2018;114400;Закрытие
16.10.2018;114360;Закрытие
16.10.2018;114420;Закрытие
16.10.2018;114470;Закрытие
16.10.2018;114450;Закрытие
16.10.2018;114440;Закрытие
16.10.2018;114490;Закрытие
16.10.2018;114560;Закрытие
16.10.2018;114600;Закрытие
16.10.2018;114620;Закрытие
16.10.2018;114640;Закрытие
16.10.2018;114600;Закрытие
16.10.2018;114570;Закрытие
16.10.2018;114590;Закрытие
16.10.2018;114600;Закрытие
16.10.2018;114660;Закрытие
16.10.2018;114660;Закрытие
16.10.2018;114640;Закрытие
16.10.2018;114680;Закрытие
16.10.2018;114630;Закрытие
16.10.2018;114780;Закрытие
16.10.2018;114760;Закрытие
16.10.2018;114770;Закрытие
16.10.2018;114820;Закрытие
16.10.2018;114840;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;114800;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114800;Закрытие
16.10.2018;114760;Закрытие
16.10.2018;114800;Закрытие
16.10.2018;114820;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;114790;Закрытие
16.10.2018;114780;Закрытие
16.10.2018;114840;Закрытие
16.10.2018;114780;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114780;Закрытие
16.10.2018;114780;Закрытие
16.10.2018;114930;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114860;Закрытие
16.10.2018;114880;Закрытие
16.10.2018;114860;Закрытие
16.10.2018;114880;Закрытие
16.10.2018;114820;Закрытие
16.10.2018;114900;Закрытие
16.10.2018;114870;Закрытие
16.10.2018;114860;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114790;Закрытие
16.10.2018;114720;Закрытие
16.10.2018;114760;Закрытие
16.10.2018;114740;Закрытие
16.10.2018;114650;Закрытие
16.10.2018;114700;Закрытие
16.10.2018;114740;Закрытие
16.10.2018;114800;Закрытие
16.10.2018;114820;Закрытие
16.10.2018;114780;Закрытие
16.10.2018;114810;Закрытие
16.10.2018;114830;Закрытие
16.10.2018;115030;Закрытие
16.10.2018;115000;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114940;Закрытие
16.10.2018;114980;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114890;Закрытие
16.10.2018;114960;Закрытие
16.10.2018;114970;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114910;Закрытие
16.10.2018;114930;Закрытие
16.10.2018;114960;Закрытие
16.10.2018;114970;Закрытие
16.10.2018;114940;Закрытие
16.10.2018;114970;Закрытие
16.10.2018;115010;Закрытие
16.10.2018;114990;Закрытие
16.10.2018;114990;Закрытие
16.10.2018;114980;Закрытие
16.10.2018;115010;Закрытие
16.10.2018;115150;Закрытие
16.10.2018;115060;Закрытие
16.10.2018;115000;Закрытие
16.10.2018;115020;Закрытие
16.10.2018;115050;Закрытие
16.10.2018;115020;Закрытие
16.10.2018;115050;Закрытие
16.10.2018;115060;Закрытие
16.10.2018;115130;Закрытие
16.10.2018;115090;Закрытие
16.10.2018;115140;Закрытие
16.10.2018;115230;Закрытие
16.10.2018;115200;Закрытие
16.10.2018;115170;Закрытие
16.10.2018;115170;Закрытие
16.10.2018;115150;Закрытие
16.10.2018;115150;Закрытие
16.10.2018;115260;Закрытие
16.10.2018;115100;Закрытие
16.10.2018;115110;Закрытие
16.10.2018;115040;Закрытие
16.10.2018;115080;Закрытие
16.10.2018;115110;Закрытие
16.10.2018;115100;Закрытие
16.10.2018;115090;Закрытие
16.10.2018;115100;Закрытие
16.10.2018;115040;Закрытие
16.10.2018;115110;Закрытие
16.10.2018;115080;Закрытие
16.10.2018;115070;Закрытие
16.10.2018;115070;Закрытие
16.10.2018;114960;Закрытие
16.10.2018;114920;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114980;Закрытие
16.10.2018;114950;Закрытие
16.10.2018;114960;Закрытие
16.10.2018;114880;Закрытие
16.10.2018;114880;Закрытие
16.10.2018;114970;Закрытие
16.10.2018;114910;Закрытие
16.10.2018;115030;Закрытие
16.10.2018;115130;Закрытие
16.10.2018;115210;Закрытие
16.10.2018;115210;Закрытие
16.10.2018;115210;Закрытие
16.10.2018;115290;Закрытие
16.10.2018;115380;Закрытие
16.10.2018;115340;Закрытие
16.10.2018;115470;Закрытие
16.10.2018;115500;Закрытие
16.10.2018;115690;Закрытие
16.10.2018;115590;Закрытие
16.10.2018;115640;Закрытие
16.10.2018;115660;Закрытие
16.10.2018;115610;Закрытие
16.10.2018;115630;Закрытие
16.10.2018;115560;Закрытие
16.10.2018;115670;Закрытие
16.10.2018;115590;Закрытие
16.10.2018;115610;Закрытие
16.10.2018;115610;Закрытие
16.10.2018;115580;Закрытие
16.10.2018;115640;Закрытие
16.10.2018;115590;Закрытие
16.10.2018;115620;Закрытие
16.10.2018;115670;Закрытие
16.10.2018;115660;Закрытие
16.10.2018;115710;Закрытие
16.10.2018;115740;Закрытие
16.10.2018;115770;Закрытие
16.10.2018;115810;Закрытие
16.10.2018;115740;Закрытие
16.10.2018;115690;Закрытие
16.10.2018;115710;Закрытие
16.10.2018;115670;Закрытие
16.10.2018;115680;Закрытие
16.10.2018;115700;Закрытие
16.10.2018;115750;Закрытие
16.10.2018;115680;Закрытие
16.10.2018;115660;Закрытие
16.10.2018;115690;Закрытие
16.10.2018;115710;Закрытие
16.10.2018;115690;Закрытие
16.10.2018;115720;Закрытие
16.10.2018;115770;Закрытие
16.10.2018;115820;Закрытие
16.10.2018;115820;Закрытие
16.10.2018;115890;Закрытие
16.10.2018;115930;Закрытие
16.10.2018;115930;Закрытие
16.10.2018;115950;Закрытие
16.10.2018;115930;Закрытие
16.10.2018;115950;Закрытие
16.10.2018;115940;Закрытие
16.10.2018;115900;Закрытие
16.10.2018;116000;Закрытие
16.10.2018;116050;Закрытие
16.10.2018;116140;Закрытие
16.10.2018;116120;Закрытие
16.10.2018;116180;Закрытие
16.10.2018;116220;Закрытие
16.10.2018;116250;Закрытие
16.10.2018;116240;Закрытие
16.10.2018;116300;Закрытие
16.10.2018;116370;Закрытие
16.10.2018;116390;Закрытие
16.10.2018;116320;Закрытие
16.10.2018;116410;Закрытие
16.10.2018;116390;Закрытие
16.10.2018;116360;Закрытие
16.10.2018;116370;Закрытие
16.10.2018;116340;Закрытие
16.10.2018;116340;Закрытие
16.10.2018;116320;Закрытие
16.10.2018;116300;Закрытие
16.10.2018;116270;Закрытие
16.10.2018;116240;Закрытие
16.10.2018;116270;Закрытие
16.10.2018;116330;Закрытие
16.10.2018;116390;Закрытие
16.10.2018;116420;Закрытие
16.10.2018;116330;Закрытие
16.10.2018;116360;Закрытие
16.10.2018;116410;Закрытие
16.10.2018;116460;Закрытие
16.10.2018;116640;Закрытие
16.10.2018;116650;Закрытие
16.10.2018;116550;Закрытие
16.10.2018;116570;Закрытие
16.10.2018;116610;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116540;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116540;Закрытие
16.10.2018;116560;Закрытие
16.10.2018;116550;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116620;Закрытие
16.10.2018;116620;Закрытие
16.10.2018;116610;Закрытие
16.10.2018;116610;Закрытие
16.10.2018;116630;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116560;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116590;Закрытие
16.10.2018;116600;Закрытие
16.10.2018;116640;Закрытие
16.10.2018;116650;Закрытие
16.10.2018;116690;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116720;Закрытие
16.10.2018;116690;Закрытие
16.10.2018;116740;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116750;Закрытие
16.10.2018;116710;Закрытие
16.10.2018;116790;Закрытие
16.10.2018;116870;Закрытие
16.10.2018;116890;Закрытие
16.10.2018;116900;Закрытие
16.10.2018;116970;Закрытие
16.10.2018;116870;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116760;Закрытие
16.10.2018;116690;Закрытие
16.10.2018;116690;Закрытие
16.10.2018;116600;Закрытие
16.10.2018;116620;Закрытие
16.10.2018;116560;Закрытие
16.10.2018;116590;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116610;Закрытие
16.10.2018;116520;Закрытие
16.10.2018;116490;Закрытие
16.10.2018;116500;Закрытие
16.10.2018;116520;Закрытие
16.10.2018;116550;Закрытие
16.10.2018;116550;Закрытие
16.10.2018;116570;Закрытие
16.10.2018;116610;Закрытие
16.10.2018;116560;Закрытие
16.10.2018;116570;Закрытие
16.10.2018;116550;Закрытие
16.10.2018;116610;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116550;Закрытие
16.10.2018;116540;Закрытие
16.10.2018;116550;Закрытие
16.10.2018;116590;Закрытие
16.10.2018;116560;Закрытие
16.10.2018;116570;Закрытие
16.10.2018;116600;Закрытие
16.10.2018;116570;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116540;Закрытие
16.10.2018;116550;Закрытие
16.10.2018;116570;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116590;Закрытие
16.10.2018;116600;Закрытие
16.10.2018;116540;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116570;Закрытие
16.10.2018;116570;Закрытие
16.10.2018;116580;Закрытие
16.10.2018;116590;Закрытие
16.10.2018;116600;Закрытие
16.10.2018;116590;Закрытие
16.10.2018;116600;Закрытие
16.10.2018;116610;Закрытие
16.10.2018;116610;Закрытие
16.10.2018;116600;Закрытие
16.10.2018;116660;Закрытие
16.10.2018;116640;Закрытие
16.10.2018;116600;Закрытие
16.10.2018;116610;Закрытие
16.10.2018;116610;Закрытие
16.10.2018;116610;Закрытие
16.10.2018;116630;Закрытие
16.10.2018;116630;Закрытие
16.10.2018;116650;Закрытие
16.10.2018;116650;Закрытие
16.10.2018;116660;Закрытие
16.10.2018;116680;Закрытие
16.10.2018;116670;Закрытие
16.10.2018;116720;Закрытие
16.10.2018;116730;Закрытие
16.10.2018;116780;Закрытие
16.10.2018;116780;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116720;Закрытие
16.10.2018;116740;Закрытие
16.10.2018;116760;Закрытие
16.10.2018;116780;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116820;Закрытие
16.10.2018;116790;Закрытие
16.10.2018;116820;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116710;Закрытие
16.10.2018;116700;Закрытие
16.10.2018;116740;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116840;Закрытие
16.10.2018;116840;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116850;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116850;Закрытие
16.10.2018;116870;Закрытие
16.10.2018;116840;Закрытие
16.10.2018;116890;Закрытие
16.10.2018;116870;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116790;Закрытие
16.10.2018;116790;Закрытие
16.10.2018;116820;Закрытие
16.10.2018;116760;Закрытие
16.10.2018;116710;Закрытие
16.10.2018;116730;Закрытие
16.10.2018;116710;Закрытие
16.10.2018;116710;Закрытие
16.10.2018;116730;Закрытие
16.10.2018;116720;Закрытие
16.10.2018;116700;Закрытие
16.10.2018;116690;Закрытие
16.10.2018;116730;Закрытие
16.10.2018;116710;Закрытие
16.10.2018;116750;Закрытие
16.10.2018;116750;Закрытие
16.10.2018;116740;Закрытие
16.10.2018;116730;Закрытие
16.10.2018;116780;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116760;Закрытие
16.10.2018;116790;Закрытие
16.10.2018;116780;Закрытие
16.10.2018;116820;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116760;Закрытие
16.10.2018;116760;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116780;Закрытие
16.10.2018;116790;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116780;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116820;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116780;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116820;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116840;Закрытие
16.10.2018;116820;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116820;Закрытие
16.10.2018;116850;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116820;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116840;Закрытие
16.10.2018;116790;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116790;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116760;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116720;Закрытие
16.10.2018;116730;Закрытие
16.10.2018;116750;Закрытие
16.10.2018;116740;Закрытие
16.10.2018;116720;Закрытие
16.10.2018;116730;Закрытие
16.10.2018;116720;Закрытие
16.10.2018;116730;Закрытие
16.10.2018;116750;Закрытие
16.10.2018;116750;Закрытие
16.10.2018;116760;Закрытие
16.10.2018;116790;Закрытие
16.10.2018;116740;Закрытие
16.10.2018;116730;Закрытие
16.10.2018;116730;Закрытие
16.10.2018;116730;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116760;Закрытие
16.10.2018;116760;Закрытие
16.10.2018;116740;Закрытие
16.10.2018;116740;Закрытие
16.10.2018;116740;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116750;Закрытие
16.10.2018;116740;Закрытие
16.10.2018;116750;Закрытие
16.10.2018;116770;Закрытие
16.10.2018;116780;Закрытие
16.10.2018;116790;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116800;Закрытие
16.10.2018;116810;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116850;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116820;Закрытие
16.10.2018;116830;Закрытие
16.10.2018;116880;Закрытие
16.10.2018;116900;Закрытие
16.10.2018;116920;Закрытие
16.10.2018;116880;Закрытие
16.10.2018;116910;Закрытие
16.10.2018;116920;Закрытие
